"Country or Area","Year","Value","Value Footnotes"
"Sudan","1967","0",""
"Sudan","1962","0",""
"Suriname","2012","-5000",""
"Suriname","2007","-5675",""
"Suriname","2002","-22142",""
"Suriname","1997","-2402",""
"Suriname","1992","-3342",""
"Suriname","1987","-4845",""
"Suriname","1982","-31771",""
"Suriname","1977","-40352",""
"Suriname","1972","-56820",""
"Suriname","1967","-13862",""
"Suriname","1962","-11050",""
"Swaziland","2012","-6000",""
"Swaziland","2007","-6000",""
"Swaziland","2002","-46077",""
"Swaziland","1997","-12000",""
"Swaziland","1992","-38243",""
"Swaziland","1987","17149",""
"Swaziland","1982","-14496",""
"Swaziland","1977","-9472",""
"Swaziland","1972","-7872",""
"Swaziland","1967","-9472",""
"Swaziland","1962","-9908",""
"Sweden","2012","272626",""
"Sweden","2007","262453",""
"Sweden","2002","141723",""
"Sweden","1997","58470",""
"Sweden","1992","156460",""
"Sweden","1987","134569",""
"Sweden","1982","29799",""
"Sweden","1977","88567",""
"Sweden","1972","18798",""
"Sweden","1967","130980",""
"Sweden","1962","80351",""
"Switzerland","2012","382267",""
"Switzerland","2007","344872",""
"Switzerland","2002","186125",""
"Switzerland","1997","65218",""
"Switzerland","1992","247406",""
"Switzerland","1987","130857",""
"Switzerland","1982","81040",""
"Switzerland","1977","-135365",""
"Switzerland","1972","25185",""
"Switzerland","1967","92978",""
"Switzerland","1962","276181",""
"Syrian Arab Republic","2012","-4029996",""
"Syrian Arab Republic","2007","370000",""
"Syrian Arab Republic","2002","-379910",""
"Syrian Arab Republic","1997","-130000",""
"Syrian Arab Republic","1992","-70000",""
"Syrian Arab Republic","1987","-146501",""
"Syrian Arab Republic","1982","-87001",""
"Syrian Arab Republic","1977","-161672",""
"Syrian Arab Republic","1972","-81501",""
"Syrian Arab Republic","1967","-16000",""
"Syrian Arab Republic","1962","-16000",""
"Tajikistan","2012","-117382",""
"Tajikistan","2007","-65435",""
"Tajikistan","2002","-96542",""
"Tajikistan","1997","-324793",""
"Tajikistan","1992","-289263",""
"Tajikistan","1987","-37962",""
"Tajikistan","1982","-21870",""
"Tajikistan","1977","-5749",""
"Tajikistan","1972","28954",""
"Tajikistan","1967","34640",""
"Tajikistan","1962","77739",""
"Tanzania","2012","-199999",""
"Tanzania","2007","-265317",""
"Tanzania","2002","-295952",""
"Tanzania","1997","-205874",""
"Tanzania","1992","591285",""
"Tanzania","1987","68208",""
"Tanzania","1982","37181",""
"Tanzania","1977","-22250",""
"Tanzania","1972","118989",""
"Tanzania","1967","36024",""
"Tanzania","1962","26997",""
"Thailand","2012","100000",""
"Thailand","2007","-858537",""
"Thailand","2002","1102862",""
"Thailand","1997","695804",""
"Thailand","1992","-807534",""
"Thailand","1987","513675",""
"Thailand","1982","341913",""
"Thailand","1977","287226",""
"Thailand","1972","402578",""
"Thailand","1967","0",""
"Thailand","1962","0",""
"Timor-Leste","2012","-50004",""
"Timor-Leste","2007","-104946",""
"Timor-Leste","2002","12",""
"Timor-Leste","1997","-156056",""
"Timor-Leste","1992","-4186",""
"Timor-Leste","1987","-4850",""
"Timor-Leste","1982","10300",""
"Timor-Leste","1977","-93784",""
"Timor-Leste","1972","2242",""
"Timor-Leste","1967","864",""
"Timor-Leste","1962","670",""
"Togo","2012","-9994",""
"Togo","2007","-9994",""
"Togo","2002","-9994",""
"Togo","1997","-30000",""
"Togo","1992","-95003",""
"Togo","1987","-20000",""
"Togo","1982","50001",""
"Togo","1977","-100000",""
"Togo","1972","-49999",""
"Togo","1967","138923",""
"Togo","1962","-77885",""
"Tonga","2012","-8078",""
"Tonga","2007","-8196",""
"Tonga","2002","-8129",""
"Tonga","1997","-8701",""
"Tonga","1992","-11082",""
"Tonga","1987","-10902",""
"Tonga","1982","-12542",""
"Tonga","1977","-7889",""
"Tonga","1972","-7635",""
"Tonga","1967","-3147",""
"Tonga","1962","103",""
"Trinidad and Tobago","2012","-5000",""
"Trinidad and Tobago","2007","-11303",""
"Trinidad and Tobago","2002","-13159",""
"Trinidad and Tobago","1997","-32545",""
"Trinidad and Tobago","1992","-31973",""
"Trinidad and Tobago","1987","-45071",""
"Trinidad and Tobago","1982","-34278",""
"Trinidad and Tobago","1977","-30858",""
"Trinidad and Tobago","1972","-29357",""
"Trinidad and Tobago","1967","-61563",""
"Trinidad and Tobago","1962","-57936",""
"Tunisia","2012","-32941",""
"Tunisia","2007","-32941",""
"Tunisia","2002","-139045",""
"Tunisia","1997","-36804",""
"Tunisia","1992","140341",""
"Tunisia","1987","48999",""
"Tunisia","1982","85582",""
"Tunisia","1977","-72068",""
"Tunisia","1972","-97065",""
"Tunisia","1967","-96523",""
"Tunisia","1962","-142495",""
"Turkey","2012","2000003",""
"Turkey","2007","-50000",""
"Turkey","2002","-100002",""
"Turkey","1997","-149998",""
"Turkey","1992","-200001",""
"Turkey","1987","-150000",""
"Turkey","1982","-77591",""
"Turkey","1977","-367998",""
"Turkey","1972","-314799",""
"Turkey","1967","-319769",""
"Turkey","1962","-259169",""
"Turkmenistan","2012","-25001",""
"Turkmenistan","2007","-57048",""
"Turkmenistan","2002","-114454",""
"Turkmenistan","1997","-60324",""
"Turkmenistan","1992","43633",""
"Turkmenistan","1987","-34319",""
"Turkmenistan","1982","-25116",""
"Turkmenistan","1977","16341",""
"Turkmenistan","1972","31549",""
"Turkmenistan","1967","36429",""
"Turkmenistan","1962","36261",""
"Uganda","2012","-150000",""
"Uganda","2007","-135000",""
"Uganda","2002","-5000",""
"Uganda","1997","-45737",""
"Uganda","1992","119995",""
"Uganda","1987","233366",""
"Uganda","1982","-115340",""
"Uganda","1977","-166660",""
"Uganda","1972","-240530",""
"Uganda","1967","53330",""
"Uganda","1962","125200",""
"Ukraine","2012","195000",""
"Ukraine","2007","235195",""
"Ukraine","2002","-165445",""
"Ukraine","1997","-462264",""
"Ukraine","1992","74421",""
"Ukraine","1987","0",""
"Ukraine","1982","189092",""
"Ukraine","1977","104383",""
"Ukraine","1972","209851",""
"Ukraine","1967","267629",""
"Ukraine","1962","454164",""
"United Arab Emirates","2012","405000",""
"United Arab Emirates","2007","3493000",""
"United Arab Emirates","2002","1180000",""
"United Arab Emirates","1997","484452",""
"United Arab Emirates","1992","326830",""
"United Arab Emirates","1987","260931",""
"United Arab Emirates","1982","175581",""
"United Arab Emirates","1977","391216",""
"United Arab Emirates","1972","245222",""
"United Arab Emirates","1967","53823",""
"United Arab Emirates","1962","37882",""
"United Kingdom","2012","900000",""
"United Kingdom","2007","1523939",""
"United Kingdom","2002","968350",""
"United Kingdom","1997","498998",""
"United Kingdom","1992","205443",""
"United Kingdom","1987","98758",""
"United Kingdom","1982","-97495",""
"United Kingdom","1977","39119",""
"United Kingdom","1972","106415",""
"United Kingdom","1967","-84853",""
"United Kingdom","1962","142563",""
"United States","2012","5007887",""
"United States","2007","5070253",""
"United States","2002","5149157",""
"United States","1997","8692337",""
"United States","1992","4568941",""
"United States","1987","3686097",""
"United States","1982","3279260",""
"United States","1977","3872811",""
"United States","1972","2840495",""
"United States","1967","1495165",""
"United States","1962","958657",""
"Upper middle income","2012","1549768",""
"Upper middle income","2007","-3082022",""
"Upper middle income","2002","-3552469",""
"Upper middle income","1997","-3565022",""
"Upper middle income","1992","-6586993",""
"Upper middle income","1987","-2069215",""
"Upper middle income","1982","143271",""
"Upper middle income","1977","-3085708",""
"Upper middle income","1972","-3241026",""
"Upper middle income","1967","-2173194",""
"Upper middle income","1962","-3415868",""
"Uruguay","2012","-30000",""
"Uruguay","2007","-50000",""
"Uruguay","2002","-104000",""
"Uruguay","1997","-26000",""
"Uruguay","1992","-20000",""
"Uruguay","1987","-30000",""
"Uruguay","1982","-30000",""
"Uruguay","1977","-60000",""
"Uruguay","1972","-136000",""
"Uruguay","1967","-34000",""
"Uruguay","1962","-6000",""
"Uzbekistan","2012","-195001",""
"Uzbekistan","2007","-290000",""
"Uzbekistan","2002","-449997",""
"Uzbekistan","1997","-290000",""
"Uzbekistan","1992","-400002",""
"Uzbekistan","1987","-388436",""
"Uzbekistan","1982","-114387",""
"Uzbekistan","1977","78675",""
"Uzbekistan","1972","444273",""
"Uzbekistan","1967","444080",""
"Uzbekistan","1962","308297",""
"Vanuatu","2012","603",""
"Vanuatu","2007","1135",""
"Vanuatu","2002","-502",""
"Vanuatu","1997","-7087",""
"Vanuatu","1992","-295",""
"Vanuatu","1987","-2801",""
"Vanuatu","1982","-3312",""
"Vanuatu","1977","245",""
"Vanuatu","1972","1439",""
"Vanuatu","1967","-506",""
"Vanuatu","1962","67",""
"Venezuela, RB","2012","-69121",""
"Venezuela, RB","2007","-28395",""
"Venezuela, RB","2002","-7648",""
"Venezuela, RB","1997","-2061",""
"Venezuela, RB","1992","-572",""
"Venezuela, RB","1987","891",""
"Venezuela, RB","1982","1373",""
"Venezuela, RB","1977","1094",""
"Venezuela, RB","1972","892",""
"Venezuela, RB","1967","3172",""
"Venezuela, RB","1962","18874",""
"Vietnam","2012","-200002",""
"Vietnam","2007","-877681",""
"Vietnam","2002","-772336",""
"Vietnam","1997","-216001",""
"Vietnam","1992","-394236",""
"Vietnam","1987","-332327",""
"Vietnam","1982","-324942",""
"Vietnam","1977","-813123",""
"Vietnam","1972","0",""
"Vietnam","1967","0",""
"Vietnam","1962","0",""
"Virgin Islands (U.S.)","2012","-3604",""
"Virgin Islands (U.S.)","2007","-6191",""
"Virgin Islands (U.S.)","2002","-5272",""
"Virgin Islands (U.S.)","1997","-3936",""
"Virgin Islands (U.S.)","1992","-4618",""
"Virgin Islands (U.S.)","1987","-11156",""
"Virgin Islands (U.S.)","1982","-3492",""
"Virgin Islands (U.S.)","1977","1961",""
"Virgin Islands (U.S.)","1972","9407",""
"Virgin Islands (U.S.)","1967","3245",""
"Virgin Islands (U.S.)","1962","10270",""
"West Bank and Gaza","2012","-43750",""
"West Bank and Gaza","2007","-90000",""
"West Bank and Gaza","2002","-190000",""
"West Bank and Gaza","1997","70000",""
"West Bank and Gaza","1992","35000",""
"World","2012","0",""
"World","2007","0",""
"World","2002","0",""
"World","1997","0",""
"World","1992","0",""
"World","1987","0",""
"World","1982","0",""
"World","1977","0",""
"World","1972","0",""
"World","1967","0",""
"World","1962","0",""
"Yemen, Rep.","2012","-50000",""
"Yemen, Rep.","2007","0",""
"Yemen, Rep.","2002","-100000",""
"Yemen, Rep.","1997","-100000",""
"Yemen, Rep.","1992","672800",""
"Yemen, Rep.","1987","-50000",""
"Yemen, Rep.","1982","-50000",""
"Yemen, Rep.","1977","-75000",""
"Yemen, Rep.","1972","-353000",""
"Yemen, Rep.","1967","-245662",""
"Yemen, Rep.","1962","-100000",""
"Zambia","2012","-34490",""
"Zambia","2007","-124044",""
"Zambia","2002","-93014",""
"Zambia","1997","79445",""
"Zambia","1992","-22952",""
"Zambia","1987","2822",""
"Zambia","1982","58483",""
"Zambia","1977","17573",""
"Zambia","1972","26662",""
"Zambia","1967","-4245",""
"Zambia","1962","2500",""
"Zimbabwe","2012","-219922",""
"Zimbabwe","2007","-307650",""
"Zimbabwe","2002","-395554",""
"Zimbabwe","1997","-200000",""
"Zimbabwe","1992","-191803",""
"Zimbabwe","1987","120505",""
"Zimbabwe","1982","141524",""
"Zimbabwe","1977","-101516",""
"Zimbabwe","1972","-30360",""
"Zimbabwe","1967","-27996",""
"Zimbabwe","1962","-10001",""

